fullName,countryId,latitude,type,placeName,previousNames,id,longitude,name
Circuit Gilles Villeneuve,canada,45.500578,STREET,Montreal,['Île Notre-Dame Circuit'],montreal,-73.522461,Gilles Villeneuve
Autodromo Nazionale Monza,italy,45.620556,RACE,Monza,,monza,9.289444,Monza
Canadian Tire Motorsport Park,canada,44.05,RACE,Bowmanville,"['Mosport Park', 'Mosport International Raceway']",mosport,-78.677778,Mosport
Autodromo Internazionale del Mugello,italy,43.9975,RACE,Scarperia e San Piero,,mugello,11.371944,Mugello
Nivelles-Baulers,belgium,50.621111,RACE,Nivelles,,nivelles,4.326944,Nivelles-Baulers
Nürburgring,germany,50.335556,RACE,Nürburg,,nurburgring,6.9475,Nürburgring
Circuit Paul Ricard,france,43.250556,RACE,Le Castellet,,paul-ricard,5.791667,Paul Ricard
Pedralbes Circuit,spain,41.390278,STREET,Barcelona,,pedralbes,2.116667,Pedralbes
Pescara Circuit,italy,42.475,ROAD,Pescara,,pescara,14.150833,Pescara
Phoenix Street Circuit,united-states-of-america,33.447917,STREET,Phoenix,,phoenix,-112.074583,Phoenix
Algarve International Circuit,portugal,37.221944,RACE,Portimão,,portimao,-8.629444,Portimão
Circuito da Boavista,portugal,41.170472,STREET,Porto,,porto,-8.67325,Boavista
Reims-Gueux,france,49.254075,ROAD,Reims,,reims,3.930561,Reims-Gueux
Riverside International Raceway,united-states-of-america,33.937,RACE,Riverside,,riverside,-117.272556,Riverside
Rouen-Les-Essarts,france,49.330639,ROAD,Rouen,,rouen,1.004583,Rouen-Les-Essarts
Sebring International Raceway,united-states-of-america,27.454741,ROAD,Sebring,,sebring,-81.348267,Sebring
Sepang International Circuit,malaysia,2.760556,RACE,Sepang,,sepang,101.7375,Sepang
Shanghai International Circuit,china,31.338889,RACE,Shanghai,,shanghai,121.219722,Shanghai
Silverstone Circuit,united-kingdom,52.078611,RACE,Silverstone,,silverstone,-1.016944,Silverstone
Sochi Autodrom,russia,43.410278,ROAD,Sochi,"['Sochi International Street Circuit', 'Sochi Olympic Park Circuit']",sochi,39.968271,Sochi
Circuit de Spa-Francorchamps,belgium,50.437222,RACE,Spa,,spa-francorchamps,5.971389,Spa-Francorchamps
Red Bull Ring,austria,47.219722,RACE,Spielberg,"['Österreichring', 'A1-Ring']",spielberg,14.764722,Red Bull Ring
Suzuka Circuit,japan,34.843056,RACE,Suzuka,,suzuka,136.540556,Suzuka
Valencia Street Circuit,spain,39.458778,STREET,Valencia,,valencia,-0.325556,Valencia
Watkins Glen International,united-states-of-america,42.336944,RACE,Watkins Glen,,watkins-glen,-76.927222,Watkins Glen
Yas Marina Circuit,united-arab-emirates,24.467222,RACE,Abu Dhabi,,yas-marina,54.603056,Yas Marina
Korea International Circuit,south-korea,34.733333,RACE,Yeongam,,yeongam,126.416667,Korea
Circuit Park Zandvoort,netherlands,52.388819,RACE,Zandvoort,,zandvoort,4.540922,Zandvoort
Zeltweg,austria,47.202222,ROAD,Zeltweg,,zeltweg,14.742222,Zeltweg
Circuit Zolder,belgium,50.988889,RACE,Heusden-Zolder,,zolder,5.255556,Zolder
